,RATING,VERIFIED_PURCHASE,REVIEW_TITLE,REVIEW_TEXT,NUM_NOUNS,NUM_VERBS,NUM_ADJECTIVES,NUM_ADVERBS,REVIEW_LENGTH,SENTIMENT_SCORE,TITLE_LENGTH,AVERAGE_RATING,RATING_DEVIATION,NUM_REVIEWS,READABILITY_FRE,SENTIMENT_CATEGORY_ENCODED,RATING_CATEGORY_ENCODED,COHERENT_ENCODED,AVG_WORD_LENGTH,LABEL_ENCODED
28,4,0,Better than expected,extrem electr blanket tri 2 take back feel wire materi luxuri feel priceyabout 50 one take back howev say qualiti indic year,7,16,4,8,303,0.0,20,4.0,0.0,1,57.61,0,1,0,4.681818181818182,0
29,4,1,great product for coffee lover that want little more rich ...,great product coffe lover want littl rich flavor coffe love easi clean,6,3,6,2,109,0.9623,61,4.0,0.0,1,84.68,1,1,1,4.916666666666667,0
30,3,1,I figured it would for sure fit a dasani bottle ...,figur sure fit dasani bottl do not abl use cheap water bottl though,4,7,3,2,124,0.5859,51,3.0,0.0,1,83.66,1,1,1,4.230769230769231,0
31,4,0,much nicer,dinnerwar set provid nice aesthet allow set tabl decor beauti white dinnerwar set goe color scheme acquir particular dinnerwar set own plain white set dinnerwar set platinum rim nicer,15,9,8,5,334,0.765,10,4.0,0.0,2,42.04,1,1,1,5.344827586206897,0
32,1,0,Changed color,side case do not match phone real issu tan color blackish part look unplea can not use like that,6,7,5,5,164,-0.2755,13,1.0,0.0,2,77.57,0,0,1,4.105263157894737,0
33,4,1,It did take a lot of hair off my face which I love because I hate peach fuzz,low pain toler facial hair remov do not hurt much lot hair face love hate peach fuzz especi wear foundat tweezer okay love color littl hard use wish packag bubbl wrap cute get smash process ship great custom servic,17,18,9,7,408,0.9243,76,4.0,0.0,1,57.27,1,1,1,4.512820512820513,0
34,3,0,hard to accommodate,bag look like littl small version pictur pictur show lot describ hold find hard accommod d3100 lens batteri charger,10,6,5,1,216,0.2732,19,4.0,-1.0,2,60.65,1,1,1,5.105263157894737,0
35,4,1,The handle is longer than I liked but it works well,buy use gel eyelin handl longer like work well like slant easi appli clean,3,9,4,2,153,0.8316,51,4.0,0.0,1,91.11,1,1,1,4.357142857142857,0
36,4,1,This mask is great for the purpose of keeping out the light for ...,mask great purpo keep light sure hub get 4 a.m. work butthead turn light get thi -pron- have have not issu sleep -pron- lol look like mini bra like tradit flat sleep mask lie flat eye littl 34cups34 do not touch eyelid nice old sleep mask itchi reason do not 5 star turn sleep side kinda uncomfort sleep on sleep stay on hate sleep,21,32,23,10,706,0.8002,67,4.0,0.0,1,72.84,1,1,1,4.1875,0
37,4,1,Like it so much,photoshoot month -pron- cool nice build qualiti vintag look awesom,5,4,5,2,124,0.6249,15,4.5,-0.5,2,61.33,1,1,1,5.7,0
38,4,0,The best natural product to lower cholesterol,person physician recommend buy googl5zi8i 600 mg tablet 5 cent addit 10 free sampl great stuffbr br recent biochem pharmacolog studi identifi red yeast rice benefici supplement maintain healthi balanc cholesterol relat lipid bodi studi report low ldl triglycerid increas hdl clinic studi patient suffer heart attack find partial purifi extract red yeast rice reduc risk repeat heart attack 45 revascular bypass surgeryangioplasti cardiovascular mortal total mortal onethird cancer mortal twothirdsbr br a recent studi find nattokina combin red yeast rice significantli low cholesterol use good nattokina googl32eeb fabul job reduc ldl overal cholesterol 220 150 amaz,47,21,22,3,1013,-0.765,45,4.0,0.0,1,-35.45,0,1,0,5.876288659793815,0
39,1,0,Waist Of money reviews are fake,go review fake buyer ware take get blood stool stop take right away look review posit thing say review take write 1 star review noon want blood stool,13,15,8,3,302,-0.6124,31,1.0,0.0,1,76.9,0,0,1,4.357142857142857,0
40,4,0,"My husband commented on how good my hair looks since I started this, thick, clear and even toned",person physician recommend buy googl5hndv with 10 free sampl great stuffbr br -pron- person physician tell biotin role multifacet vitamin number differ purposesbr 1 hair skin nail biotin say help grow healthi hair good skin help treat brittl toe fingernail biotin treat hair loss alopecia peopl prematur gray hair low level biotin help combat gray hairbr 2 treatment candida peopl use biotin treat candida say abl prevent yeast chang fungal formbr 3 fat burner biotin promot fat burner principl role biotin help metabol fat protein carbsbr 4 reduc blood sugar case doctor recommend biotin help peopl type 2 diabet reduc blood sugarbr 5 gene replic deep level biotin integr gene replicationbr 6 blood cell bone marrow biotin help product healthi blood cell bone marrowbr br -pron- hair thin work stress job get point could not success ponytail decid tri biotin 3 month happi report strong thick hair have not see growth length thick pretty manag -pron- hairdress surpris go trim 2 month haircut grow level normal take 3 month reach,71,65,37,15,1764,0.9861,96,4.0,0.0,1,-92.62,1,1,1,5.064705882352941,0
41,4,1,No problem of calcium or potassium,read review calcium hamper burn fat take octob lose lb do not care contain long keep fit go,7,12,2,5,198,-0.4268,34,4.0,0.0,1,78.59,0,1,0,4.111111111111111,0
42,4,1,perfect lenght...comfortable,work expect cheap -pron- lightweight durabl length perfect wife 3 spare stylu pen do not know use for,5,8,6,5,193,0.5719,28,3.25,0.75,4,87.05,1,1,1,4.666666666666667,0
43,4,0,The Gift of Life from Trees! Fountain of youth,person physician recommend buy googlxv1lp with 10 free sampl great stuffbr br -pron- tell extract pine bark benefici effect treat 50 disea associ effect free radic provid prevent thembr 1 asthmabr 2 chronic venou insuffici a condit involv leg swell 3 varicos vein pain itch skin changesbr 4 high blood pressur hypertensionbr 5 retinopathi an eye condit commonli caus diabetesbr 6 attent deficit hyperact disord adhdbr 7 blood clot leg deep vein thrombosisbr 8 diabetesbr 9 impot also know erectil dysfunct edbr 10 high cholesterolbr 11 male infertilitybr 12 heart attack strokesbr 13 leg crampsbr 14 pregnanc pain such pain pelvic pain leg crampsbr 15 pain menstrual period dysmenorrheabr 16 pycnogenol say improv athlet performancebr br so tell can not heal ask tri use type 2 diabet herbal treatment regimen add prevent circulatori longev potenti life veggi cap time take pycogenol month far main thing notic allergiescough pretti go away complet begin januari year get sick pretti bad cold cough night morn doctor tell like allergi asthma befor pycogenol thing ad regimen vitaminssuppl past month cough goneyay hope help diabet reason start take hope report see benefit soon too plan starttak twice day instead -pron- be hope help,93,58,46,27,2068,0.6808,46,4.0,0.0,1,-129.5,1,1,1,5.232323232323233,0
44,4,1,Recommendable,true recommend product work great skin pill daili tall glass water good way restor refresh skin within skin look soft like glow thi,9,9,8,3,238,0.93,13,4.0,0.0,2,73.51,1,1,1,4.739130434782608,0
45,4,0,Looks nice!,shower curtain littl thin like work fine for price liner -pron- also dark color dark i ad towel s rug differ shade bring colorslook nice,9,9,6,5,254,0.7269,11,4.0,0.0,1,63.02,1,1,1,4.48,0
46,4,0,perfect for my dorm room,-pron- would like decent speaker set use dorm room get budget -pron- surprisingli good sound clear set max volum bass decent perfect roommat slumber parti look pretti convent too look stylish,12,16,10,7,338,0.8934,24,2.5,1.5,2,56.93,1,1,1,5.193548387096774,0
47,4,0,it’s fine,do not care way scent appear it’ clean need,3,5,1,3,104,0.0186,9,4.0,0.0,1,104.64,0,1,0,3.888888888888889,0
48,4,0,Great for soups,search larg dutch oven -pron- great brown carmal meat larg high grea splatter stove love -pron- abil transfer oven roast brais great soup easi cleanup,9,10,9,5,262,0.9246,15,4.0,0.0,1,88.4,1,1,1,5.04,0
49,1,0,stripped more hair from me,high hope thicken shampoo instead leave hair feel like acceler hair loss further continu return remaind refund,8,9,3,5,212,0.4404,26,1.0,0.0,1,54.22,1,0,0,5.529411764705882,0
50,4,0,Good book,begin techniqu discuss book help deal anxieti depress huge help begin medit slowli work replac zoloft otc supplement thing life improv 100 look otc supplement anxietydepress xanrx tri help conjunct bookasinb00f5jjloc xanrx dietari supplement reduc symptom anxieti stress depress panic attack boost mood increas relax beat anxieti kava kava 5htp theanin gaba more money guarante,31,21,10,5,686,-0.1531,9,4.0,0.0,1,-1.28,0,1,0,5.872727272727273,0
51,3,0,Alright!,art paper exactli look great present young brother love draw anyth great price,8,7,4,3,159,0.9246,8,3.0,0.0,1,92.12,1,1,1,5.076923076923077,0
52,3,0,Canister Set,find air tight good brown sugar chip cracker stale cracker take tast contain well fine pasta rice cereal get eat quickli,11,9,9,6,240,0.7003,12,3.0,0.0,1,67.08,1,1,1,4.761904761904762,0
53,4,0,Great camera,question good camera product good new except warranti time trust brand -pron- inspect recondit factori rest faith -pron-,10,7,3,2,222,0.8979,12,4.0,0.0,1,53.21,1,1,1,5.722222222222222,0
54,4,1,Easy to carry.,love case -pron- sleek slide pocket perfectli phone fall protect mishap,5,5,3,5,148,0.7783,14,4.0,0.0,1,85.69,1,1,1,5.545454545454546,0
55,4,0,to being pretty excited about it,3 month ago find recent lose hair time shampoo hair thick hair look bit thin nowsinc then take step possibl hair grow know product friend 2 week use hair grow rapidli -pron- have go cri hair pretti excit -pron-,13,23,10,7,405,0.128,32,4.0,0.0,1,65.73,0,1,0,4.410256410256411,0
56,3,0,Average stylus pen,nice stylu prefer seren stylu pen small 4mmnib tip screen obstruct comfort featur silicon grip check,6,4,8,2,200,0.6486,18,3.0,0.0,1,55.24,1,1,1,5.3125,0
57,1,0,poor night vision,buy camera night vision find poor camera low light work total dark do not work all night vision booster lead work total dark,11,13,6,9,271,-0.296,17,1.0,0.0,1,73.51,0,0,1,4.434782608695652,0
58,1,0,A Day in the Life of a Century,ulyss errata pennedbr br ulyss ruin spring -pron- day life centurybr br selfpleasur omin sell book overt devicebr br the anabasi far good templat odyssey foreshadow early tale fatebr br leopold bloom wife infidel bare share bedroombr br the danger book tellal come public point concern relea fret sweat run mind collect murder reveng seekersbr br virginia woolf master novelist right dismiss jame joyc work tepid ode grecian epic poembr br chri robert god verticallyb find rodmel england matterbr br onc finish walk river water edg weigh stone eye pocket slip deepbr br virginia woolf chronicl lifebr br i cr add good novelist 20th centurybr br -pron- love virginia everywher jame joyc much all day life small view exclud billion live day,47,35,18,15,1278,0.1027,30,1.0,0.0,1,-43.9,0,0,1,5.057377049180328,0
59,4,1,It is very helpful to keep the car cool for kids and protect them from heat of the ...,help car cool kid protect heat sun traveleasi attach car window stick there,6,6,3,3,163,0.765,86,4.0,0.0,1,75.2,1,1,1,4.846153846153846,0
60,1,0,Too Weak to Take Out Wrinkles!,useless christma gift keep tri use differ fabric luck produc steam anyth useless,5,5,4,1,138,0.0772,30,1.0,0.0,2,66.74,0,0,1,5.230769230769231,0
61,1,0,Books for Album Covers,j d sal righteousbr br not scribbl casebr br no author photoanywhereon bookbr br on cover especi oh coverbr br thi disastr forc t c boyl posebr br fact fictionbr br the redhead lead manbr br in move pictur photographybr br antihero step childbr br the somebodi do not want seebr br red blazer black tee 80sbr br i suppo good red deadbr br the font manufactur starebr br scream bad album coverbr br jesu christ could not pull offbr br but laughbr br at t cbr br and share piec breadbr br get pollut crush winebr br and laugh morebr br the young jesusbr br befor miracl sermonsbr br the cross far year awaybr br -pron- trip lead zeppelinbr br chri robert god jesu christ the laugh prophet,33,18,14,12,1097,0.92,22,1.0,0.0,1,-42.55,1,0,0,4.325581395348837,0
62,3,0,Not bad......,pen drive good budget work fast problem yet deliveri fast,3,3,2,4,102,0.0516,13,3.0,0.0,1,78.25,0,1,0,4.8,0
63,4,0,Not what I expected,product actual help lot area particularli workout perform concern expect burn fat mayb research wrong,7,7,3,4,171,-0.1027,19,4.0,0.0,1,39.33,0,1,0,5.8,0
64,1,0,SMOCKING HOT,smoke hot deal second unit 23 week work plug watch out 15 charg cycl thing hot can not touch -pron- pop smokegam over charg reason give 1 star return easi read review look like 1 3 good charger -pron- be go step pay real time do not want risk burn hous 30 differ junk genuin appl product ye suck real deal httpwwwamazonvotegpproductb008alaav0,20,29,11,10,676,0.4003,12,1.0,0.0,1,33.93,1,0,0,4.532258064516129,0
65,4,0,And the verdict is in,work take month half lose 7 pound happi work lose weight want time write review total worth tri,7,15,3,4,239,-0.4939,21,2.5,1.5,2,87.05,0,1,0,4.333333333333333,0
66,2,0,did not work,brown skin young ladi like look tan trip plan miami want sit outsid damag sun long period think help tan product day product follow direct exactli state product work skin hint tan,18,16,6,5,350,0.6705,12,2.0,0.0,1,55.92,1,0,0,4.625,0
67,4,1,Works great!,fun littl gadget use -pron- be happi camper work great describ find short video easy understand instruct accompani manual do not need know oper thing plea tool wish includ recip,8,14,9,4,330,0.9186,12,4.0,0.0,1,49.49,1,1,1,4.933333333333334,0
68,4,0,it looked exactly like what I had in my mind,purcha think expen but look exactli like mind pleasantli shock turn high grade metal construct turn ornament piec desk doubt mind lifetim look good -pron-,11,15,8,5,320,0.1154,44,4.0,0.0,1,63.02,0,1,0,5.2,0
69,1,0,"Better Off Just Drinking A Glass of Wine.,",50 stinki tablet noth nada effect whatsoev -pron- take awhil write review tri time work be not land hospit not product realiz blow 50 buck doc ask take gladli tell product think mayb caus hospit stay -pron- pneumonia nur sen fear promptli tell glorifi vitamin big cheesi smile face oh shame,18,22,6,9,562,-0.3818,42,1.0,0.0,1,36.63,0,0,1,4.705882352941177,0
70,4,0,Good quality product,high qualiti match exact product descript camera big tough begin digit photograph -pron- wonder -pron- familiar featur instruct manual teach new thing do,9,9,10,0,266,-0.128,20,4.333333333333333,-0.333333333333333,3,39.67,0,1,0,5.695652173913044,0
71,1,0,Got my hopes up,feel like product absolut n take month -pron- be kinda disappoint,3,4,1,4,109,0.024,15,1.5,-0.5,2,68.77,0,0,1,5.0,0
72,2,0,skip this and get the motorized pump,honestli skip hand pump real motor one ye expen tremend valu,4,5,2,2,109,0.4939,36,2.0,0.0,1,77.23,1,0,0,4.545454545454546,0
73,4,1,I have always struggled with my weight,struggl weight colleg lose battl join fratern gain 32 pound -pron- fast food beerbr br i decid track start run hit speed bag garcinia cambogia appetit drop do not eat to far -pron- have lose 67 pound,11,18,5,8,376,-0.2263,38,4.0,0.0,2,67.76,0,1,0,4.405405405405405,0
74,1,0,"worked for 2 days, then stopped working",compani send email purcha ebay ask review product amazon probabl ask think goe buy use appradio3 pay addit 20 instal 2 day allow video display constantli keep flash warn messag video 6 7 second like second video follow 67 second warn messag get annoy take instal say instal correctli amp stuff car need radio modul old car fanci comput stuff new pioneer radio agre addit 30 remov bypass bench test thing bench instal feed power blue black wire connect alarm lead green wire flash bench car 20 do not want deal hassl return -pron- cost pocket time worth -pron- know seller respon thi lose lot money product sure pursu -pron- end buy bypass compani work fine month now mayb get bad what suck deal -pron- 02 leav -pron- email compani websit go unansw date week search onlin diybypass nonam compani figur,62,70,25,27,1725,-0.7732,39,1.0,0.0,2,-54.73,0,0,1,4.680851063829787,0
75,1,0,not sold,-pron- be sell flavor textur content lazi roommat serv thi night hilar involv food throw still picki,9,7,3,7,207,0.0,8,1.0,0.0,1,71.14,0,0,1,4.9411764705882355,0
76,4,0,Works well. Makes a great cup fo coffee,coffe drinker consid pod machin heck cup studi review decid one problem plastic smell mention small neg display light dim light sight gage wrong posit counter live these make great cup coffe,20,20,7,3,436,-0.1779,39,4.0,0.0,1,64.38,0,1,0,4.96875,0
77,4,1,accessorizing is the key with this,love necklac order use need accessor necklac good accessori match itbr br -pron- fortun gothic look item enhanc beauti item,7,13,6,3,268,0.7964,34,2.5,1.5,2,51.18,1,1,1,5.2,0
78,1,0,cheap,recent buy item case week star can not price guess can not complain,5,9,2,4,163,0.2755,5,1.0,0.0,1,92.12,1,0,0,4.230769230769231,0
79,3,1,"Great for kids, boring for adults",19 month old love video especi shape dvd reason circl star now recogn play asinb0089w1igg babi block count five name letter therebr br i video credit hold attent learn lot -pron- slow pace flashi like cartoon tv anim color music decentbr br howev bore adult watch video repeat word again get tire listen to fair repetit definit help learn faster guess deal itbr br prosbr br video work wellbr daughter love thembr br consbr br bear adult watch,28,30,13,16,892,0.9432,33,2.0,1.0,2,17.69,1,1,1,4.6923076923076925,0
80,4,0,Good product,day appear high strength andbr doe job well,3,6,4,2,107,0.6486,12,4.0,0.0,1,88.74,1,1,1,4.5,0
81,4,0,Totally toasty,toast bread nice look good counter have not uneven burn toaster make kitchen look like heavi machineri vibe,8,6,6,3,166,0.802,14,4.0,0.0,1,87.05,1,1,1,5.0,0
82,4,1,Happy! Worth the price!,love -pron- fit driver seat -pron- be drive long distanc that order support tri comput chair feel comfort like materi cover too -pron- soft nice materi tri driver seat -pron- perfect help relax do not need actual pull driver seat forward think great decis buy lumbar cushion thing -pron- be worri durabl cushion think -pron- good do not use feel like -pron- hard sag coupl year hope -pron- be wrong know what -pron- perfect present probabl come year,26,34,18,20,783,0.9892,23,4.0,0.0,1,17.69,1,1,1,4.769230769230769,0
83,4,0,Goes on thick but absorbs well and leaves my skin ...,goe thick absorb leav skin smooth soft light scent cucumb littl goe long way feel greasi start dab two,6,7,8,4,184,0.0,53,4.0,0.0,1,86.03,0,1,0,4.421052631578948,0
84,3,0,very tiny shower head.,item nice item rain shower head thing see look item big surpris arriv see tini shower head standard big disappoint return -pron-,12,12,6,4,250,0.0258,22,3.0,0.0,1,66.07,0,1,0,4.863636363636363,0
85,4,0,Very comfortable,34goto34 ear comfort style great downsid to -pron- wire curv littl hard on guess mean will not come inadvert either,5,10,7,5,231,0.7351,16,4.0,0.0,1,68.1,1,1,1,4.8,0
86,4,1,Amazing oil,natur oil believ good girl needsbr definit differ skin 3 week use oil smell pleasantbr br absorb quick face howev take star dispen method hope dropper pump,16,7,5,6,322,0.7003,11,4.0,0.0,1,69.45,1,1,1,4.777777777777778,0
87,4,1,Holidays,holiday extra pound need help extra weight maintain take coupl week eat like crazi weight gain good sign weight lose either mayb holiday notic weight loss will not eat much,12,17,7,6,332,0.8979,8,4.0,0.0,2,66.41,1,1,1,4.766666666666667,0
88,4,1,Warm but big,odd slipper fit great day feel larg shrunk stretch out normal size foot wide loo instead walk shuffl like old man do look find,5,17,7,11,333,0.7783,12,4.0,0.0,1,80.96,1,1,1,4.291666666666667,0
89,1,1,Cheap and sad looking,organ arriv today soon open box complet disappoint cheap look rate star have purchas acryl organ time sad purchas return tomorrow extrem poor qualiti,9,18,8,7,356,-0.836,21,1.0,0.0,1,47.12,0,0,1,5.25,0
90,4,0,It burn me from inside.,feel lose belli fat like magic think kind product exist start cardio 3 day week result good unreli result tri,10,10,2,3,197,0.7269,23,4.0,0.0,1,59.64,1,1,1,4.5,0
91,4,0,This is a wonderful humidifier!,plea decis purcha humidifi air hous get dri time wake nose ble good feel wake to choose buy help hous moistur air tell differ hous alreadi,13,15,6,4,335,0.6808,31,4.0,0.0,1,70.47,1,1,1,4.346153846153846,0
92,4,1,Weight control regimen,wife ongo weight control regimen land product -pron- 250 mg forskolin like easi swallow size bad tast late night snack usual feel comfort lose 3 pound lose week,11,15,9,4,326,-0.5994,22,4.0,0.0,1,68.44,0,1,0,4.75,0
93,4,0,buy it now!,key actual feel mechan membran sort tactil feedback nois spring almost argu better feel cherri mx slightli hard type on,6,8,5,5,245,0.3008,11,4.5,-0.5,2,59.64,1,1,1,5.0,0
94,4,0,awesome!,girlfriend use condom do not want mess upbr thi brand help lotbr i definit recommend thi,5,7,1,4,150,0.7259,8,4.0,0.0,1,72.16,1,1,1,4.5625,0
95,4,0,Well worth the money,worth money definit order again heavi warm love -pron- thing tri stick bag warm sure,3,10,6,4,181,0.8807,20,4.0,0.0,1,98.55,1,1,1,4.666666666666667,0
96,3,0,If they will replace...,think shatter proof babi one half year old drop floor break tri custom servic c replac,8,8,3,0,160,-0.2732,23,3.0,0.0,2,80.62,0,1,0,4.4375,0
97,4,0,"Pretty Good, Doesn't Ruin Makeup",enjoy take nap home work product help sleep good way will not ruin makeup shape eye make do not touch eyelid eye makeup surviv nap issu mask light seep bit nose,16,15,7,9,330,0.8973,32,4.5,-0.5,2,65.39,1,1,1,4.193548387096774,0
98,2,0,so poorly made,poorli damag get deliv twice second son go camp need right away look nice roll nice eh box thin materi rivet miss dent qualiti footlock withstood ship,10,20,5,5,317,0.6124,14,2.0,0.0,1,60.99,1,0,0,4.592592592592593,0
99,4,1,Like the simplicity but I plan on doing some research on it :),have not take long -pron- be excit simplic ingredi list capsul label 34veggi capsules34 slightli confus list exactli pill 34forskolin blend34 whichcould anyth plan littl research 34coleu forskohlii root extract34 br br love alwaysbr heather,10,14,8,8,439,0.6369,62,4.0,0.0,1,44.41,1,1,1,5.885714285714286,0
100,4,1,I am thinking better.,start take gingko biloba 7 month ago becaus -PRON- have grow old -PRON- have notic brain process slow bit muddledbi take product twice day 7 month muddi sensat brain go rememb littl thing normal forget -PRON- be abl learn new trick comput again thank heaven pill morn even sure stop take these help much brain teaser onlin help brain function well,20,29,14,13,619,0.8519,21,4.0,0.0,1,34.94,1,1,1,4.704918032786885,0
101,4,1,I love how my face feels after using this,love face feel thi normal use clay mask think continu instead,4,8,1,3,121,0.6369,41,4.0,0.0,1,85.69,1,1,1,4.636363636363637,0
102,2,0,No noticeable difference,nioxin like chang formula lab mexicobr br i tri good clean shampoo have not help scalp flake allbr br i smell good price reason compar brand wish work mebr br i continu use updat and upgrad star too,13,20,6,4,422,0.8871,24,2.0,0.0,1,49.83,1,0,0,4.2368421052631575,0
